claim_id,claim_type,severity,arrival_date,arrival_day,due_date,due_day,sla_days,onsite,online,lat,lon,cluster_id,completed,completion_day,days_to_complete,completed_on_time,total_workdays,n_adjusters_used,total_effective_progress
53663111,personal,3,2023-12-13,5,2024-01-03,26,21,False,True,33.5887,-86.765,8,True,26.0,22.0,True,1.0,1.0,2.0
11367941,personal,2,2023-12-13,5,2024-01-10,33,28,False,True,33.4188,-86.7867,8,True,26.0,22.0,True,1.0,1.0,2.5
48663814,personal,3,2023-12-14,6,2024-01-04,27,21,True,False,33.4459,-86.7502,8,True,22.0,17.0,True,1.0,1.0,2.0
65254349,personal,3,2023-12-14,6,2024-01-04,27,21,True,False,33.4188,-86.7867,8,True,22.0,17.0,True,1.0,1.0,2.0
62831133,personal,2,2023-12-14,6,2024-01-11,34,28,False,True,33.4653,-86.8082,8,True,26.0,21.0,True,1.0,1.0,2.5
75245436,personal,3,2023-12-14,6,2024-01-04,27,21,True,False,33.4653,-86.8082,8,True,22.0,17.0,True,1.0,1.0,2.0
35327743,personal,3,2023-12-15,7,2024-01-05,28,21,True,False,33.5452,-86.6655,8,True,26.0,20.0,True,1.0,1.0,2.0
10147967,personal,4,2023-12-15,7,2023-12-29,21,14,True,False,33.3967,-86.8346,8,True,14.0,8.0,True,2.0,2.0,1.5003750937734435
93155186,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,33.4995,-86.7268,8,True,20.0,11.0,True,1.0,1.0,2.0
92804299,personal,4,2023-12-19,11,2024-01-02,25,14,True,False,33.2317,-86.8727,8,True,21.0,11.0,True,1.0,1.0,1.0
85977664,personal,3,2023-12-19,11,2024-01-09,32,21,True,False,33.4995,-86.7268,8,True,30.0,20.0,True,1.0,1.0,2.0
49788980,personal,3,2023-12-20,12,2024-01-10,33,21,True,False,33.5409,-86.7495,8,True,33.0,22.0,True,1.0,1.0,2.0
84810658,personal,1,2023-12-11,3,2024-01-08,31,28,False,True,33.5066,-86.7428,8,True,31.0,29.0,True,1.0,1.0,3.003003003003003
38283677,personal,2,2023-12-10,2,2024-01-07,30,28,False,True,33.4995,-86.7268,8,True,25.0,24.0,True,1.0,1.0,2.5
86054113,personal,3,2023-12-12,4,2024-01-02,25,21,True,False,34.7561,-87.6304,25,True,25.0,22.0,True,1.0,1.0,1.6
21868312,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,34.9186,-87.6136,25,True,17.0,15.0,True,14.0,3.0,1.05
74536715,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,32.8101,-84.696,5,True,9.0,8.0,True,5.0,3.0,1.0
59197831,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,32.5768,-85.312,22,False,,,False,,,
58114394,personal,4,2023-12-14,6,2023-12-28,20,14,True,False,32.79,-84.5654,5,True,20.0,15.0,True,2.0,1.0,1.2
63187573,personal,4,2023-12-26,18,2024-01-09,32,14,True,False,32.5161,-84.9785,22,True,32.0,15.0,True,24.0,2.0,1.1999999999999997
60766474,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,34.5299,-83.9798,5,True,11.0,8.0,True,4.0,3.0,1.0
20628615,personal,2,2023-12-13,5,2024-01-10,33,28,False,True,34.2897,-84.1796,5,True,26.0,22.0,True,1.0,1.0,2.5
54172692,personal,4,2023-12-21,13,2024-01-04,27,14,True,False,33.9321,-83.3525,5,True,25.0,13.0,True,2.0,2.0,1.6
46932570,personal,4,2023-12-22,14,2024-01-05,28,14,True,False,33.9883,-83.8795,5,True,26.0,13.0,True,1.0,1.0,1.0
77519131,personal,3,2023-12-28,20,2024-01-18,41,21,False,True,33.9883,-83.8795,5,True,35.0,16.0,True,1.0,1.0,2.0
74987065,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,31.2137,-82.3557,11,True,24.0,22.0,True,2.0,1.0,1.7991004497751122
86736844,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,32.296,-81.2354,11,,,,,,,
23422253,personal,4,2023-12-13,5,2023-12-27,19,14,True,False,32.296,-81.2354,11,,,,,,,
84318564,personal,1,2023-12-21,13,2024-01-18,41,28,False,True,32.1491,-81.1632,11,True,40.0,28.0,True,1.0,1.0,3.003003003003003
22920771,personal,4,2023-12-29,21,2024-01-12,35,14,True,False,32.546,-83.6047,28,True,35.0,15.0,True,14.0,1.0,1.05
60657955,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,30.9913,-83.3727,28,True,5.0,4.0,True,1.0,1.0,2.0
11928999,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,33.4737,-82.0131,21,True,22.0,21.0,True,1.0,1.0,1.4992503748125936
29844145,personal,5,2023-12-19,11,2023-12-26,18,7,True,False,31.8513,-81.6072,11,False,,,False,,,
47562933,personal,3,2023-12-09,1,2023-12-30,22,21,True,False,33.9367,-83.9573,5,True,19.0,19.0,True,1.0,1.0,2.0
10611609,personal,2,2023-12-14,6,2024-01-11,34,28,True,False,34.0268,-84.2422,5,True,34.0,29.0,True,1.0,1.0,2.5
87249450,personal,3,2023-12-19,11,2024-01-09,32,21,True,False,34.1124,-84.302,5,True,32.0,22.0,True,1.0,1.0,2.0
37341972,personal,4,2023-12-10,2,2023-12-24,16,14,True,False,33.832,-84.3851,5,True,14.0,13.0,True,2.0,2.0,2.0
86588848,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,33.6954,-84.2489,5,True,5.0,3.0,True,4.0,3.0,1.0
68299199,personal,3,2023-12-12,4,2024-01-02,25,21,True,False,33.7467,-84.3781,5,True,24.0,21.0,True,1.0,1.0,2.0
51594690,personal,3,2023-12-11,3,2024-01-01,24,21,False,True,33.7498,-84.3169,5,True,23.0,21.0,True,1.0,1.0,2.0
15132122,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,33.4944,-84.3797,5,True,22.0,21.0,True,1.0,1.0,2.0
73036050,personal,2,2023-12-11,3,2024-01-08,31,28,True,False,32.9978,-84.4558,5,True,29.0,27.0,True,1.0,1.0,2.0
89714924,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,33.5242,-84.359,5,True,16.0,14.0,True,1.0,1.0,1.0
15522364,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,33.6166,-84.2939,5,True,15.0,13.0,True,1.0,1.0,1.0
60306763,personal,4,2023-12-12,4,2023-12-26,18,14,True,False,33.7883,-83.7013,5,True,18.0,15.0,True,1.0,1.0,1.0
72644250,personal,5,2023-12-13,5,2023-12-20,12,7,True,False,33.5531,-84.4003,5,True,12.0,8.0,True,4.0,3.0,1.0
94982348,personal,3,2023-12-13,5,2024-01-03,26,21,True,False,33.6115,-84.3745,5,True,21.0,17.0,True,1.0,1.0,2.0
44191158,personal,2,2023-12-17,9,2024-01-14,37,28,False,True,33.3915,-84.5635,5,True,37.0,29.0,True,1.0,1.0,2.5
38796223,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,33.5146,-83.8626,5,True,29.0,20.0,True,1.0,1.0,2.0
83320199,personal,3,2023-12-21,13,2024-01-11,34,21,True,False,33.2845,-84.5918,5,True,30.0,18.0,True,1.0,1.0,2.0
42866005,personal,3,2023-12-22,14,2024-01-12,35,21,False,True,33.2845,-84.5918,5,True,20.0,7.0,True,1.0,1.0,2.0
68639486,personal,3,2023-12-28,20,2024-01-18,41,21,True,False,33.2404,-84.2734,5,True,33.0,14.0,True,1.0,1.0,2.0
19093483,business,2,2023-12-12,4,2024-01-09,32,28,False,True,33.9382,-84.5403,5,True,24.0,21.0,True,1.0,1.0,2.5
80976162,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,33.9382,-84.5403,5,True,18.0,17.0,True,1.0,1.0,2.0
32028183,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,34.1993,-84.4199,5,True,23.0,22.0,True,1.0,1.0,2.0
23143461,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,34.0408,-84.3859,5,True,8.0,7.0,True,4.0,3.0,1.0
59112774,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,34.0025,-84.4633,5,True,9.0,8.0,True,4.0,2.0,1.0
95721396,personal,4,2023-12-10,2,2023-12-24,16,14,True,False,34.106,-84.5117,5,True,13.0,12.0,True,1.0,1.0,1.0
97764976,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,34.106,-84.5117,5,True,19.0,17.0,True,1.0,1.0,2.0
21428246,personal,3,2023-12-11,3,2024-01-01,24,21,False,True,33.7655,-84.6469,5,True,6.0,4.0,True,1.0,1.0,2.0
91633982,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,34.3393,-84.3758,5,True,10.0,8.0,True,4.0,3.0,1.0
83834084,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,34.1993,-84.4199,5,True,10.0,8.0,True,4.0,2.0,1.0
99617803,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,34.106,-84.5117,5,True,16.0,14.0,True,1.0,1.0,1.0
56710653,personal,3,2023-12-12,4,2024-01-02,25,21,False,True,33.9335,-84.3958,5,True,22.0,19.0,True,1.0,1.0,2.0
23977331,personal,3,2023-12-13,5,2024-01-03,26,21,True,False,33.6989,-84.7454,5,True,21.0,17.0,True,1.0,1.0,2.0
15438252,personal,3,2023-12-14,6,2024-01-04,27,21,True,False,34.106,-84.5117,5,True,27.0,22.0,True,1.0,1.0,2.0
85992267,personal,4,2023-12-15,7,2023-12-29,21,14,True,False,33.9951,-84.6544,5,True,19.0,13.0,True,1.0,1.0,1.0
99762147,personal,4,2023-12-16,8,2023-12-30,22,14,True,False,33.7655,-84.6469,5,True,22.0,15.0,True,1.0,1.0,1.0
81439291,personal,5,2023-12-18,10,2023-12-25,17,7,True,False,34.0707,-84.5894,5,True,17.0,8.0,True,4.0,2.0,1.0
99688016,personal,4,2023-12-27,19,2024-01-10,33,14,True,False,33.8369,-84.6307,5,True,20.0,2.0,True,1.0,1.0,1.0
95649856,personal,3,2023-12-27,19,2024-01-17,40,21,True,False,34.3393,-84.3758,5,True,35.0,17.0,True,1.0,1.0,2.0
65520411,personal,3,2023-12-29,21,2024-01-19,42,21,True,False,34.1993,-84.4199,5,True,38.0,18.0,True,1.0,1.0,2.0
35699035,business,3,2023-12-13,5,2024-01-03,26,21,True,False,34.256,-90.6348,4,True,22.0,18.0,True,1.0,1.0,1.4992503748125936
16431008,personal,2,2023-12-09,1,2024-01-06,29,28,True,False,34.256,-90.6348,4,True,1.0,1.0,True,1.0,1.0,2.5
34812954,personal,3,2023-12-12,4,2024-01-02,25,21,True,False,34.256,-90.6348,4,True,16.0,13.0,True,1.0,1.0,2.0
39971385,personal,3,2023-12-13,5,2024-01-03,26,21,True,False,34.256,-90.6348,4,True,10.0,6.0,True,1.0,1.0,2.0
93347427,personal,3,2023-12-13,5,2024-01-03,26,21,False,True,34.256,-90.6348,4,True,26.0,22.0,True,1.0,1.0,2.0
54997493,personal,3,2023-12-13,5,2024-01-03,26,21,True,False,34.1906,-90.0027,4,True,19.0,15.0,True,1.0,1.0,2.0
27789940,personal,3,2023-12-15,7,2024-01-05,28,21,False,True,34.256,-90.6348,4,True,28.0,22.0,True,1.0,1.0,2.0
17594035,personal,3,2023-12-16,8,2024-01-06,29,21,False,True,34.3115,-89.9443,4,True,26.0,19.0,True,1.0,1.0,2.0
23426286,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,34.3115,-89.9443,4,True,29.0,20.0,True,1.0,1.0,2.0
85162092,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,34.256,-90.6348,4,True,28.0,19.0,True,1.0,1.0,2.0
41807405,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,34.256,-90.6348,4,True,31.0,22.0,True,1.0,1.0,2.0
40887256,personal,3,2023-12-18,10,2024-01-08,31,21,False,True,34.256,-90.6348,4,True,28.0,19.0,True,1.0,1.0,2.0
47678249,personal,3,2023-12-18,10,2024-01-08,31,21,False,True,34.2474,-90.4981,4,True,24.0,15.0,True,1.0,1.0,2.0
19454340,personal,3,2023-12-20,12,2024-01-10,33,21,True,False,34.256,-90.6348,4,True,29.0,18.0,True,1.0,1.0,2.0
76163732,personal,4,2023-12-21,13,2024-01-04,27,14,True,False,34.3115,-89.9443,4,True,27.0,15.0,True,8.0,2.0,1.0
43125894,personal,3,2023-12-26,18,2024-01-16,39,21,True,False,34.3115,-89.9443,4,True,35.0,18.0,True,1.0,1.0,2.0
71958391,personal,3,2023-12-27,19,2024-01-17,40,21,True,False,34.256,-90.6348,4,True,37.0,19.0,True,1.0,1.0,2.0
27390118,business,3,2023-12-11,3,2024-01-01,24,21,True,False,32.8158,-90.2815,14,True,10.0,8.0,True,1.0,1.0,1.2
58896848,business,5,2023-12-12,4,2023-12-19,11,7,True,False,33.0446,-89.5724,26,False,,,False,,,
98966942,business,3,2023-12-21,13,2024-01-11,34,21,True,False,34.2823,-88.6715,25,True,33.0,21.0,True,1.0,1.0,1.6
53275484,personal,3,2023-12-10,2,2023-12-31,23,21,False,True,34.6924,-89.9869,4,True,15.0,14.0,True,1.0,1.0,1.4992503748125936
58834864,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,34.9474,-89.9258,4,True,15.0,13.0,True,8.0,2.0,1.0
22882269,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,34.6924,-89.9869,4,True,20.0,18.0,True,1.0,1.0,2.0
30806356,personal,3,2023-12-12,4,2024-01-02,25,21,True,False,32.8594,-90.4031,14,True,4.0,1.0,True,1.0,1.0,1.2
22986408,personal,3,2023-12-12,4,2024-01-02,25,21,False,True,32.8594,-90.4031,14,True,19.0,16.0,True,1.0,1.0,2.0
90758095,personal,3,2023-12-13,5,2024-01-03,26,21,False,True,32.8158,-90.2815,14,True,26.0,22.0,True,1.0,1.0,2.0
17398355,personal,3,2023-12-14,6,2024-01-04,27,21,True,False,32.8594,-90.4031,14,True,22.0,17.0,True,1.0,1.0,1.2
31783300,personal,3,2023-12-15,7,2024-01-05,28,21,False,True,34.6924,-89.9869,4,True,28.0,22.0,True,1.0,1.0,2.0
15591198,personal,3,2023-12-16,8,2024-01-06,29,21,False,True,34.7471,-89.4897,4,True,26.0,19.0,True,1.0,1.0,2.0
55699161,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,34.9441,-89.8544,4,True,30.0,21.0,True,1.0,1.0,2.0
42671302,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,32.8594,-90.4031,14,True,21.0,12.0,True,1.0,1.0,1.2
38498257,personal,3,2023-12-20,12,2024-01-10,33,21,False,True,32.8594,-90.4031,14,True,23.0,12.0,True,1.0,1.0,2.0
16273803,personal,1,2023-12-20,12,2024-01-17,40,28,False,True,32.8594,-90.4031,14,True,34.0,23.0,True,1.0,1.0,3.003003003003003
20177713,personal,3,2023-12-21,13,2024-01-11,34,21,True,False,34.6924,-89.9869,4,True,32.0,20.0,True,1.0,1.0,2.0
12088234,personal,3,2023-12-27,19,2024-01-17,40,21,False,True,32.8594,-90.4031,14,True,36.0,18.0,True,1.0,1.0,2.0
83429720,personal,3,2023-12-28,20,2024-01-18,41,21,False,True,32.8594,-90.4031,14,True,38.0,19.0,True,1.0,1.0,2.0
23604942,personal,3,2023-12-28,20,2024-01-18,41,21,True,False,32.8594,-90.4031,14,True,24.0,5.0,True,1.0,1.0,1.2
70749121,personal,3,2023-12-29,21,2024-01-19,42,21,True,False,34.6924,-89.9869,4,True,36.0,16.0,True,1.0,1.0,2.0
26902668,personal,5,2023-12-18,10,2023-12-25,17,7,True,False,31.3146,-89.3065,26,False,,,False,,,
88071747,personal,5,2023-12-15,7,2023-12-22,14,7,True,False,39.1077,-76.872,13,True,14.0,8.0,True,4.0,4.0,1.0
54489273,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,39.9218,-75.2876,1,True,22.0,20.0,True,1.0,1.0,2.0
50919094,personal,3,2023-12-12,4,2024-01-02,25,21,True,False,39.0811,-76.5577,13,True,25.0,22.0,True,1.0,1.0,2.0
89143237,business,3,2023-12-11,3,2024-01-01,24,21,True,False,39.3446,-76.6794,13,True,24.0,22.0,True,1.0,1.0,2.0
50659826,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.3265,-76.6048,13,True,10.0,8.0,True,5.0,5.0,1.0
94297623,personal,3,2023-12-10,2,2023-12-31,23,21,False,True,39.6422,-76.6737,13,True,2.0,1.0,True,1.0,1.0,2.0
45148681,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,39.3086,-76.4533,13,True,5.0,4.0,True,6.0,3.0,1.0
14684874,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,39.401,-76.451,13,True,16.0,14.0,True,1.0,1.0,1.0
25678177,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.2655,-76.4935,13,True,9.0,7.0,True,5.0,5.0,1.0
32895625,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,39.46,-76.8135,13,True,20.0,18.0,True,1.0,1.0,2.0
44203274,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,39.3923,-76.4132,13,True,16.0,14.0,True,1.0,1.0,1.0
24114873,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.2782,-76.7401,13,True,10.0,8.0,True,4.0,4.0,1.0
28832313,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.2876,-76.5568,13,True,9.0,7.0,True,4.0,4.0,1.0
43699187,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.6264,-75.8458,13,True,8.0,6.0,True,4.0,4.0,1.0
39331989,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.2645,-76.6224,13,True,9.0,7.0,True,4.0,4.0,1.0
89334143,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,39.287,-76.6476,13,True,16.0,14.0,True,1.0,1.0,1.0
87223908,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,39.3647,-77.4636,7,True,24.0,22.0,True,1.0,1.0,2.0
40418753,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,39.3365,-76.5411,13,True,24.0,22.0,True,1.0,1.0,2.0
12102960,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,39.46,-76.8135,13,True,11.0,8.0,True,6.0,4.0,1.0
98404929,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,39.2645,-76.6224,13,True,6.0,3.0,True,4.0,4.0,1.0
21933264,personal,4,2023-12-12,4,2023-12-26,18,14,True,False,39.3296,-76.7341,13,True,13.0,10.0,True,1.0,1.0,1.0
67021537,personal,4,2023-12-14,6,2023-12-28,20,14,True,False,39.2876,-76.5568,13,True,12.0,7.0,True,1.0,1.0,1.0
25429903,personal,4,2023-12-14,6,2023-12-28,20,14,True,False,39.5649,-76.0592,13,True,18.0,13.0,True,1.0,1.0,1.0
75936333,personal,5,2023-12-14,6,2023-12-21,13,7,True,False,39.3093,-76.6699,13,True,13.0,8.0,True,4.0,4.0,1.0
50968655,personal,4,2023-12-15,7,2023-12-29,21,14,True,False,39.2655,-76.4935,13,True,15.0,9.0,True,1.0,1.0,1.0
63040634,personal,4,2023-12-12,4,2023-12-26,18,14,True,False,39.1702,-76.5798,13,True,13.0,10.0,True,1.0,1.0,1.0
74611319,personal,5,2023-12-18,10,2023-12-25,17,7,True,False,39.1702,-76.5798,13,True,16.0,7.0,True,6.0,4.0,1.0
99523059,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.3876,-76.5418,13,True,10.0,8.0,True,6.0,3.0,1.0
67832939,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.3064,-76.6393,13,True,8.0,6.0,True,4.0,4.0,1.0
17992581,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,39.3265,-76.6048,13,True,10.0,8.0,True,5.0,4.0,1.0
15194864,personal,4,2023-12-12,4,2023-12-26,18,14,True,False,40.2378,-75.2955,1,True,14.0,11.0,True,1.0,1.0,1.0
89165170,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,40.4025,-75.9046,1,True,4.0,3.0,True,4.0,3.0,1.0
97541237,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,40.1809,-75.2156,1,True,10.0,8.0,True,5.0,5.0,1.0
10660194,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,40.2464,-75.1354,1,True,13.0,11.0,True,1.0,1.0,1.0
76643740,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,40.2378,-75.2955,1,True,15.0,13.0,True,2.0,2.0,1.5003750937734435
45924388,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,40.1496,-75.3796,1,True,9.0,7.0,True,6.0,5.0,1.0
28373297,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,40.3054,-75.1489,1,True,6.0,4.0,True,4.0,4.0,1.0
60307932,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,40.2892,-75.2149,1,True,10.0,8.0,True,4.0,3.0,1.0
42658946,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,40.1913,-75.4373,1,True,17.0,15.0,True,2.0,2.0,1.5003750937734435
86006374,personal,3,2023-12-11,3,2024-01-01,24,21,False,True,40.2635,-75.6172,1,True,24.0,22.0,True,1.0,1.0,2.0
74188885,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,40.2584,-75.9833,1,True,21.0,19.0,True,1.0,1.0,2.0
61074242,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,40.0236,-75.3295,1,True,8.0,6.0,True,5.0,5.0,1.0
20381941,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,40.2635,-75.6172,1,True,8.0,6.0,True,4.0,3.0,1.0
82539754,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,40.3054,-75.1489,1,True,11.0,8.0,True,4.0,3.0,1.0
68152603,personal,3,2023-12-12,4,2024-01-02,25,21,True,False,40.0399,-75.3459,1,True,20.0,17.0,True,1.0,1.0,2.0
69429129,personal,4,2023-12-13,5,2023-12-27,19,14,True,False,40.1245,-75.3304,1,True,12.0,8.0,True,1.0,1.0,1.0
88344608,personal,3,2023-12-13,5,2024-01-03,26,21,True,False,40.328,-75.9908,1,True,26.0,22.0,True,1.0,1.0,2.0
85097498,personal,3,2023-12-14,6,2024-01-04,27,21,True,False,40.1245,-75.3304,1,True,27.0,22.0,True,1.0,1.0,2.0
99261454,personal,5,2023-12-18,10,2023-12-25,17,7,True,False,40.3765,-75.2648,1,True,17.0,8.0,True,5.0,5.0,1.0
36741976,personal,3,2023-12-18,10,2024-01-08,31,21,True,False,40.1245,-75.3304,1,True,25.0,16.0,True,1.0,1.0,2.0
62272443,personal,4,2023-12-19,11,2024-01-02,25,14,True,False,40.2945,-75.0649,1,True,25.0,15.0,True,1.0,1.0,1.0
58352549,personal,5,2023-12-27,19,2024-01-03,26,7,True,False,40.263,-74.9555,1,True,23.0,5.0,True,5.0,5.0,1.0
44236869,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,40.0161,-75.7183,1,True,9.0,8.0,True,5.0,5.0,1.0
94222829,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,40.0468,-75.531,1,True,13.0,11.0,True,1.0,1.0,2.0
